timestamp,coin,mark_px,oracle_px,funding_hourly,oi_btc,oi_usd,cfi,regime,asymmetry,long_pressure,short_pressure,liq_within_2pct_usd,liq_within_5pct_usd,liq_within_10pct_usd,n_wallets,n_positions,sampled_notional_usd,coverage_ratio,n_null_liqpx,n_dust_filtered,n_far_filtered
2026-06-10T04:36:29+00:00,BTC,61327.0,61357.0,1.07907e-05,31726.36274,1945682647.75598,16.81,calm,0.0083,77531429.2222452,78832973.38300113,40706709.26663,124494375.19522,191990714.70937,2000,258,930223759.03437,0.47809634325887,62,24,75
2026-06-10T04:46:28+00:00,BTC,61195.0,61224.0,8.8606e-06,31901.22596,1952195522.6222,16.31,calm,0.0188,75086673.63579747,77965125.52405766,38002070.90405,120279359.11532,198697075.18922,2000,252,938174623.11018,0.480574108606713,60,24,79
2026-06-10T04:56:29+00:00,BTC,61286.0,61314.0,8.9185e-06,31501.13334,1930578457.87524,16.71,calm,0.0276,75280493.57694973,79552150.60553282,40929842.97574,120785408.33368,199902318.56644,2000,253,926748192.3506,0.4800365344232435,61,25,78
2026-06-10T05:06:29+00:00,BTC,61182.0,61218.0,5.6387e-06,31654.1256,1936662712.4592,16.44,calm,0.0032,76908132.2891296,77405236.23082544,38208246.45525,121518491.15467,199657541.8752,2000,256,938697978.90049,0.4846987412219647,65,23,75
2026-06-10T05:16:29+00:00,BTC,61132.0,61169.0,-2.5244e-06,31667.3094,1935885958.2408,16.28,calm,0.0117,75752149.79562409,77551919.89207758,40557579.52465001,120231175.86082998,198774255.65917,2000,253,941711929.1186,0.4864501057564171,63,25,75
2026-06-10T05:48:34+00:00,BTC,61244.0,61276.0,-1.5041e-06,31373.85916,1921460630.39504,16.63,calm,0.0568,72358573.44546118,81076587.07938197,42197874.07117,122236566.63607998,189270223.21764,2000,251,922865904.64932,0.4802939441229065,59,29,79
2026-06-10T05:58:33+00:00,BTC,61293.0,61324.0,-1.9685e-06,31402.12248,1924730293.16664,16.72,calm,0.0716,71853798.43981142,82934751.81356317,41203120.88623,122288243.37064,191170203.60911,2000,253,925938712.88265,0.4810745256984863,60,27,81
2026-06-10T06:08:32+00:00,BTC,61300.0,61336.0,-3.5759e-06,31401.66196,1924921878.148,16.71,calm,0.0711,71892878.32440324,82898706.9869636,41855639.30372,122935110.65487,194005603.64228,2000,250,926306845.55767,0.4812178904885665,59,27,82
2026-06-10T06:18:33+00:00,BTC,61361.0,61394.0,6.209e-07,31472.7482,1931199302.3002,16.86,calm,0.0718,73068115.80762264,84369610.41258645,42438506.33353,126640563.02762002,197840825.79748,2000,253,933763431.61722,0.48351479337479,60,27,81
2026-06-10T06:28:33+00:00,BTC,61342.0,61371.0,-6.404e-07,31571.74888,1936674219.79696,17.33,calm,0.0907,74166508.12131803,88960291.45557596,47658714.54519999,132424670.58041,203495493.52135,2000,257,941277030.71791,0.4860275523348439,61,28,77
2026-06-10T06:38:33+00:00,BTC,61136.0,61171.0,-3.144e-06,31546.47136,1928625073.06496,17.25,calm,0.0476,77151367.98519278,84867410.49310058,41750700.99599,131836850.94069,201755267.4893,2000,259,939075114.46233,0.4869142932845715,63,25,75
2026-06-10T06:48:33+00:00,BTC,61375.0,61409.0,-2.3057e-06,31600.57724,1939485428.105,17.53,calm,0.0903,75617399.59104018,90623296.14246096,50458819.17383001,136636000.21666,207409477.04095,2000,260,948452114.54572,0.489022552477962,61,27,78
2026-06-10T06:58:33+00:00,BTC,61445.0,61480.0,-2.2065e-06,31607.4898,1942122210.761,17.61,calm,0.1044,74646746.5183462,92045162.19235577,61664684.38679999,137604753.54122,204644946.4928,2000,263,946645332.54923,0.4874283025568701,62,27,78
2026-06-10T07:08:33+00:00,BTC,61532.0,61570.0,-6.6164e-06,31541.80786,1940830521.24152,17.62,calm,0.1235,73113640.87424257,93722459.89498325,61503258.29621,136207393.45566,204478701.79148,2000,261,947118128.97288,0.4879963080789882,64,26,77
2026-06-10T07:18:33+00:00,BTC,61512.0,61552.0,-5.6896e-06,31509.39194,1938205717.01328,17.58,calm,0.1143,73728169.77161355,92762613.8247517,60897480.04823998,136146962.76907,204031987.95646995,2000,258,946937288.22285,0.4885638711674288,63,29,78
2026-06-10T07:28:32+00:00,BTC,61634.0,61668.0,-3.3391e-06,31429.14438,1937103884.71692,17.25,calm,0.1137,72088316.87230659,90579122.40659566,56883632.85562,131478143.46508,193060473.94338,2000,249,942767762.47323,0.4866893148639789,62,29,80
2026-06-10T07:38:33+00:00,BTC,61579.0,61612.0,-3.0335e-06,31420.18324,1934823463.73596,17.11,calm,0.1073,72286544.97615038,89656387.89990726,56459657.29458,131334023.79808,191874303.03702,2000,248,946688395.38988,0.4892892882133623,62,30,79
2026-06-10T07:51:36+00:00,BTC,61684.0,61720.0,-1.3641e-06,31425.3783,1938443035.0572,17.61,calm,0.145,71591588.70206231,95876002.34323329,73714250.84456,135327396.23002997,198804987.53292,2000,251,951226502.28535,0.4907167686035618,62,32,76
2026-06-10T08:01:35+00:00,BTC,61662.0,61693.0,-2.0421e-06,31447.06372,1939088843.10264,17.93,calm,0.1456,72780252.05908073,97578275.16510633,77392087.80542,137801281.80806002,199807848.23533,2000,253,950245990.35689,0.4900476807635324,63,30,78
2026-06-10T08:11:36+00:00,BTC,61572.0,61605.0,-5.1359e-06,31451.19836,1936513185.42192,18.03,calm,0.1261,74830069.82005666,96433671.348873,77613604.13764,138892641.43815,199682207.4246,2000,255,949960203.71252,0.4905518903066732,63,31,76
2026-06-10T08:21:34+00:00,BTC,61652.0,61688.0,-5.4987e-06,31484.39344,1941075824.36288,18.25,calm,0.1511,73857965.99903812,100153077.60555364,79524199.50888,141160032.11303002,203211403.9846,2000,259,953732405.28987,0.4913421687702045,65,30,75
2026-06-10T08:31:35+00:00,BTC,61466.0,61502.0,-6.1263e-06,31433.5969,1932097467.0554,18.06,calm,0.1201,75445908.98158453,96037859.38991123,82165881.65093,138670551.24051,206811546.62326,2000,256,949441356.774,0.4914044829327319,66,30,75
2026-06-10T08:41:35+00:00,BTC,61386.0,61422.0,-7.1139e-06,31365.1033,1925378231.1738,17.71,calm,0.1306,72569724.16326167,94379243.92596318,79050445.69183001,135006811.72345,202299654.19072,2000,251,942927091.14273,0.4897360299788358,64,30,76
2026-06-10T08:51:34+00:00,BTC,61177.0,61213.0,-7.1472e-06,31324.93246,1916365393.10542,17.56,calm,0.0944,74697570.78545411,90267536.39690222,61728741.69796,134231148.08001,198925471.50901,2000,252,939262422.74058,0.4901270008944013,65,28,74
2026-06-10T09:01:35+00:00,BTC,61260.0,61291.0,-5.4719e-06,31505.41492,1930021717.9992,17.56,calm,0.0983,75680833.76165815,92183689.46894877,65217713.98298,136816195.78318,202451466.61192003,2000,251,955680581.98645,0.495165713978171,62,31,77
2026-06-10T09:11:35+00:00,BTC,61186.0,61219.0,-1.2565e-06,31596.52278,1933264842.81708,17.75,calm,0.1018,76408185.73944435,93736838.07669424,65804187.35902,139426200.62735,205481137.23374,2000,256,958804636.0612302,0.4959510020696888,67,28,72
2026-06-10T09:21:35+00:00,BTC,61050.0,61086.0,-3.9963e-06,31596.51726,1928967378.723,17.74,calm,0.0717,78866568.72956526,91054865.52133656,42000182.22408,140606179.33521998,205192451.47168,2000,257,957614032.96074,0.4964386871045441,68,30,71
2026-06-10T09:34:02+00:00,BTC,61188.0,61220.0,-8.729e-07,31662.90078,1937389572.92664,17.51,calm,0.1231,74109936.53948466,94921990.06182396,68171908.32756001,139959531.25763,197014870.81938,2000,250,965394790.91359,0.4982966794103547,62,33,75
2026-06-10T09:44:01+00:00,BTC,61384.0,61415.0,1.0873e-06,31832.78086,1954023420.31024,17.91,calm,0.1326,75102098.64172198,98072991.79718427,70904868.22410001,140727371.71288,208478037.96294,2000,253,966809257.95598,0.494778746204833,59,32,76
2026-06-10T09:54:01+00:00,BTC,61128.0,61161.0,1.0749e-06,31514.63774,1926426775.77072,17.58,calm,0.1093,74889472.73875992,93270176.03014402,70697647.79367,142768265.57949,197717572.94223,2000,253,956327212.25596,0.4964254153254047,63,30,75
2026-06-10T10:04:01+00:00,BTC,61298.0,61330.0,2.2288e-06,31757.50388,1946671472.83624,17.77,calm,0.1338,74748330.75315562,97840962.67356534,71197362.52561001,139842321.16025,205675026.42871,2000,257,971511184.93376,0.4990627327159104,59,31,75
2026-06-10T10:14:01+00:00,BTC,61210.0,61239.0,6.0188e-06,31744.50258,1943081002.9218,17.82,calm,0.109,77117219.58699279,95981990.05761012,69277822.81808001,141631270.51089,206545067.4147,2000,259,971291540.76179,0.4998718732267282,62,31,74
2026-06-10T10:24:01+00:00,BTC,61169.0,61215.0,6.086e-06,31710.20538,1939681552.88922,17.82,calm,0.1068,77258943.10119835,95744048.70603046,69620903.61489,141192847.34952998,206074253.00837,2000,261,970628152.07545,0.5004059303598919,61,31,74
2026-06-10T10:34:01+00:00,BTC,61314.0,61343.0,7.3593e-06,31869.55216,1954049721.13824,17.99,calm,0.121,77362623.24283454,98652779.97685008,72398190.14376,141139779.47326002,214057469.85124,2000,260,978442271.6269002,0.5007253710294304,60,31,76
2026-06-10T10:44:01+00:00,BTC,61271.0,61294.0,6.9683e-06,31639.49122,1938583266.54062,17.65,calm,0.1335,74611478.50521667,97605310.13022186,72194069.26433,141848683.43668002,203400768.38498,2000,261,975937289.39123,0.5034280993938316,65,31,73
2026-06-10T10:54:01+00:00,BTC,61283.0,61315.0,6.1253e-06,31642.47558,1939145830.96914,17.64,calm,0.137,74338406.39265567,97942428.9094668,72606490.63064,141412237.10524,203777435.43953,2000,259,976610494.67668,0.5036292160598324,63,33,77
2026-06-10T11:04:01+00:00,BTC,61358.0,61389.0,5.7268e-06,31635.02636,1941061947.39688,17.66,calm,0.1505,73165613.63483942,99091830.86767796,73369722.29597,141384378.31442,204534292.82254,2000,260,975488883.62093,0.502554225499675,62,33,79
